destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Senegal,,,4204,,,,,,,,,,,,,,,,,,,3621,,,,,,650,,,,,,,,1014,,,668,,,,,,,,,,,,2850,,,,,,,295,,,,,,,,,,,,,,,,,13909,,,5386,,876,1790,,,,,,51711,29591,,,,,,,,,,,,,,,,,,,,,,,,1106,,439,,,,,,,,34245,,,45357,,,,,,,4134,,,,,,,,,,1697,829,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,1430,,,14963,,,,,,,,,,,,,,,,,,,,1677,,,,0,,,,,,,,802,,,,,,,,,,,
Serbia,,467,53,,,,,,49,158,,675,6998,,,,,,134,217,,,,,,335992,,85,,,1134,,,,,,612,,,,,,1763,,,,,,,,,283247,29,,173,514,,,183,,,,,77,,,,,,,,,,34,5388,,,,48,16083,29,914,,,,,,,,,,1800,,295,32,65,176,52,,109,1923,,39,99,97,,,67,,,,45,,,374,,28,90,,,,,53,,,26,,,,71224,,33,,,,,,752,,24,,,,,46737,,138,,,,,,,49,43,664,39,,,26,230,3607,2944,,,,,,,,,,,,,,,476,10930,,,141,,158,,76,,,1191,2856,123,,,,,,,40,388,29,,,1274,24,647,,1286,,,80,,37,,,,,57,28
Sierra_Leone,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,11,,43,,,19,,,0,,,195,,,,,,,,154,,,,,,3,0,,,,,,,,0,1,,,,,,,,,,,705,,36,995,,,,,,39375,377,,,,,,855,,,0,,,,,,1,,,27,,,,,,617,,10917,,,,,,,,323,,,97,,,,,,,,,,,,,,,,,53,2022,,,,,,94,,,,,,,,,,,4,,,67,0,,,,,,,,,353,,,,,,,,0,85,,,,,15,,,,,,,,27,,,,,,,,,,167,,179,,,,,,0,,,,18,
Singapore,,,,,,,,,,,,10129,,,,,80747,,,,,,,,,,,,,,,,,,,,4700,,,,,,448566,61969,22199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150082,163237,,,,,,,,,,,,,,,,,,,,,,,,,,1123654,,,,,,,,,,,,,,,,,,,3938,,,,,,,,,129253,,,,,,15392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10730,,,,,,,,19269,,,,,,,,,,,,,,17161,,,,,,,,,,,
Sint_Maarten,,,,,,,383,534,,,1286,,,,,,,73,,,,,,,,,,,904,,,,,,,,38,,,,,,174,,,208,,,,,,,828,1425,,,,,,,1495,3546,,,,,,,,,,,,,89,,,,,,,,,,,,,,1807,2746,,,,834,60,,,,,,,2364,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,26,,,,,,,1042,487,,70,,,,,,,,,,,,,,,,,,,,521,,,,,,,,,208,,,,,,,,53,,312,70,,,,41,,,,,,
Slovakia,299,99,105,,,25,,,83,148,,288,3361,37,,,,,223,828,,,,,,394,,114,,,2193,,,,,,480,,,139,,28,1074,,,56,,23,,,,850,137,,120,87989,,,260,,,,36,195,,,,55,,31,,,,154,2938,,,,78,4817,19,431,,,,,,,,,,17058,63,155,35,130,79,914,,192,2841,,137,57,246,25,,75,25,,144,111,,,59,,142,57,,,,,27,,,93,,,64,39,,55,,,,,,585,,43,,,111,,760,,750,,90,,,,,59,34,6721,172,,,534,125,8299,2780,,,,,,,,,39,,1917,,,,,311,,,112,,885,,44,,,270,677,237,,71,,,,,153,322,,,,10092,75,5501,,2181,,,46,,,2145,,,34,,
Slovenia,25,148,28,,0,2,,,417,13,,363,2820,10,,0,3,,143,310,2,2,,0,,100880,2,114,,,1179,4,3,,6,17,389,,34,1,,28,863,,,41,0,9,,4,2,46995,70,,16,388,,6,58,0,,166,9,113,,0,8,28,,16,,,,33,1167,,1,16,18,7586,38,91,,,,1,5,18,,10,5,402,8,143,43,89,58,44,,34,3646,9,81,60,100,25,,11,7,,38,23,0,4,40,11,33,39,15,2,8,6,8,,0,69,,,4,2843,,22,4,,3,,14,325,,,2,0,49,,15637,,16,1,26,,,,,52,114,413,52,,1,,338,466,2082,11,,,,,,,,17,5,27073,5,11,,600,,,35,47,,463,17,2,16,,332,980,61,3,220,,3,,,53,116,5,,4,1803,12,559,2,702,,11,32,,,15,,3,13,5,12
Solomon_Islands,,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,29,,,,265,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,33,73,,,,,,,,,,,,564,,,120,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,29,,,,66,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,13641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883,,
South_Africa,145,251,695,,,62147,,,3699,,,11252,8417,,,255,3953,44,370,12415,,300,91,,251,314,65404,4579,31,31,6141,,10232,,,3854,8890,,181,,,1040,36583,2519,,924,304,30731,,,1803,1560,2391,,7673,3111,211,47609,3944,,,,,7213,,,890,224,82621,4844,,,69,1009,11827,,484,,,88577,10412,14101,,,,139,119,44,85,,,,45,37740,1899,1096,255,18903,,6976,36422,300,2730,85,,25668,,139,54,45,654,1444,295581,1170,251,,625,36,666,96776,1419,165,529,,,444,,36,,,,1693,638833,334,164599,31,195,31411,,4884,166,29,25842,29,184,36,1735,45,15619,,89,89,181,314,2336,15390,42487,,,2598,,2524,5302,7377,36,,,,,,,964,4308,6052,771,1419,,655,,,29171,,94,2271,1538,146,4640,,374,3066,179,,1365,,,,36,175,1760,,,7574,5946,276,117150,14962,15848,,175,,,466,249,,,136,87077,336046
South_Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4574,5184,,,,,,,,,,,,,,,,,,87755,,,,,,5145,,,3318,,,12786,,,,,,,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,9558,,,,,,,,,153,,,,,,,203,,,,,,,,,,,,,,,,,,,,,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562391,,,,,,,,,,,,,,,145607,,,,,,,,,,,,,,,,
Spain,458,1938,56038,,5900,3553,,,251841,9516,,6376,8844,616,58,56,9836,43,3886,44130,34,398,,,150680,2119,,99187,,22,126875,1147,107,4445,95,5178,6922,,162,122,,54400,155713,,,347505,,2105,,3339,2958,1684,131134,,366,8548,115,1468,11539,21,966,156905,416394,4128,9192,19339,137,1875,,3713,,,32,12359,203692,,278,17017,8760,200641,12043,3982,,622,,7411,9689,5369,111,723,41333,9297,1122,34447,1937,5888,1829,14925,,2858,106324,282,6128,2261,1797,1555,,483,333,188,3987,3341,,819,966,115,16284,1425,462,65,602,17576,312,,8532,48613,119,235,419,167,,699880,1197,87,126,,3136,46711,,1073,20361,280,30198,,627,,16018,51,54547,,4246,30,58926,184802,42659,63864,112032,,91,4189,17084,646181,79255,283,,45,,,,37,189,845,49461,3900,1025,503,,7297,1312,,272,2829,,,628,,389,218,19318,62286,5910,84,2084,,508,,206,2734,3969,60,,211,81618,326,305969,360,42291,,73640,642,,160478,1634,,,139,148,335
Sri_Lanka,131,,,,,,,,,,,472,,,,400,669,,,,,,,232,,,,,,,,,,,,,251,,,,,,2463,,,,,,,,,,,,251,,,,,,,,,130,,,,,,,,,,61,299,,,,,557,,90,,,,,,,,37,,,,10730,322,104,40,,,55,5130,,843,275,,,,1742,,,,736,,,40,,,,,,918,,,,,,,,,,,,,,,,342,,,111,,,,,,,117,330,823,,,,,,,,33,,274,607,,,149,,,,,,,,,1406,,,,608,,,,,,261,,35,,,,,129,289,73,,275,,,,,,45,,,,,1676,1184,,609,,,,,,,,,,,
State_of_Palestine,,,,,,,,,,,,,,,,8555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62895,,,,55709,,,,17111,,,,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9334,,,,,,,,,,,10111,,,,,,,,,,,,,21778,,,,,,,,,,,,,,,,,,,4672,,,,,,,600,,,,,,10888,,,7826,,,,,,,,,1467,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13489,74514,,,1111,,,,,,,,,,,,,,,7445,,,,,,13423,,,159748,,,50734,,,,,,,,,,,,,,,,,,,,,,,,1277,,,,,,,,,,,,2575,,,,,,,,,1557,,,,,,,678,,,,,,,,,,,,,,,,,,,,,14828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,255959,,,,,,,,,,,,,,,,,,,1250,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,5023,,,,,,,,,,,,,,,4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,31267,2569,3022,,5,742,,8,3152,2674,,3988,5772,2935,30,88,7363,113,2833,2490,14,90,19,28,4450,57705,110,7341,3,11,8757,79,2935,379,611,1360,3596,,108,71,,28072,28410,581,,11914,3,806,,423,981,8452,2724,,759,1831,83,3381,41870,333,42,733,2422,6256,2942,45,28616,10303,32,16704,,,63,156045,9525,,25,4884,1325,49586,2663,16025,,40,,809,528,142,120,144,361,16531,5644,23237,2429,69067,131888,2565,,2611,10769,355,3150,3898,1956,3803,3,2268,990,490,7026,26159,57,954,2689,3,11345,319,119,74,1510,139,176,1,68,2469,1,45,2609,921,,9480,330,1511,131,2,853,10656,,1094,804,48,4669,,6541,,42074,60,11469,3,293,31,202,7509,12406,85517,3583,,176,10690,836,26358,19450,592,1,35,,16,23,4,11,3768,807,10092,837,738,,1571,1252,4,60623,2515,21,10199,7025,5759,3763,44,,3584,98216,304,38792,4,363,31,291,4996,46373,235,,4195,7322,1777,25266,1700,19515,,2159,3612,1,1186,17085,,,1499,524,565
Switzerland,12697,2978,9499,,100,6743,,81,8895,986,,6186,60069,765,131,236,2414,79,1499,16447,53,619,,77,3803,55231,71,37517,,67,7408,653,570,2544,2401,7356,11908,,211,301,,7222,22978,,,12714,39,1188,,937,3195,19553,3316,,477,15128,348,6836,5616,109,401,11481,6505,6303,874,68,24089,777,95,7093,,,87,5327,158819,,297,990,948,352966,2687,12254,,46,,1027,1558,646,137,1723,637,24683,419,21961,3601,11562,9900,3838,,3852,262749,780,7677,769,3287,3463,,513,618,958,2133,6332,72,424,1366,2228,1927,2381,1836,138,2349,515,288,,119,7006,,288,916,2796,,17400,1366,290,279,,970,23056,,1867,641,216,3786,,60503,,2229,98,4909,,486,250,1111,9667,13436,37132,223088,,109,3916,1918,21062,22407,1048,,52,,,,,69,1268,2712,63340,355,2007,,18587,5654,,6852,7675,40,69181,32930,195,1443,130,9531,,15204,222,19471,,1968,,332,11461,77342,116,,750,9585,594,45658,858,37392,,1592,903,,4517,11417,,,594,357,992
Syria,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084,,,,,598128,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,12393,,129,,,,,,,194,,,63,169,,,,,680,,,,,,,,,,,23,,,,,,,49,,,,,,48,,,,,,,,,,,,,,155,,130,,,,,,,,,,,,,,,,,,,,664,133,,,,,,,,,,,,,,617,,1197,62,,,,,,,,839,,,,11301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,109,,22,,,,,,36,105,,,,,,,37,,,,,787,,234154,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,776,446,,,1209,,314,,274,22,,7539,,,,,,,23,
Thailand,1,,,,,,,,,,,1416,,,,,1404,,,,,,,,,,,,,,,,,,661275,,751,,,,,,74411,,,,,,,,16,,,,,,0,16,641,,,,,0,,,,,,2,,,,,1319,,,,,2299,,,,,,,,,,,,,,8901,671,14,82,,,,613,,8167,,,,,,,896727,,,,1,,,,,,,1314,,,,,,,,,,,,,1782773,,,11186,681,,1800,,,,,,,718,,2347,,,,,,1311,,530,,,909,,,,4,,,,,,,,1,,,,729,,,,,131,,,,7705,15,1,,697,940,,,,,2,,,,1,,,0,,,2068,,4055,,,,,,7049,,,0,,1
Timor-Leste,,,,,,,,,,,,562,,,,,69,,,,,,,,,,,66,,,,,,,,,,,,,,,953,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4177,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,72,,,,,,,,,306,,,,,,377,,276,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,59,,,,,,208,,,,,
Togo,,,,,,,,,,,,,,,,,,,,65,,71638,,,,,,,,,,13641,,40,,697,48,,375,713,,,517,,,,,257,,,5746,,,,,,,651,,,,,,,,107,,,,,,,,,792,,896,1063,,200,46794,,,,,,3338,130,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,8122,,,145,,,,,,,,,,,,,,,,,65729,31974,,,,,,,,,,,,,,,,,,,,,665,,,,,,,41,,1008,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad_and_Tobago,,,,,,,,,,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,1777,,,,,,866,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,8026,,,,,9830,,,,,959,,,,,,,,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,,,346,,,,,,,,,,,880,,6430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368,,5798,,,,,1870,,,,,,
Tunisia,,,10411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,,,,,,,,,,,,,646,,,,,,,,,,,,,1136,,,,,,,,,,,8612,,,,,1448,,,,,,,,,,,,,,,,,636,,,,2208,,,,,,,,,,,,,,9119,,,,,,,996,,,528,,,,,,,5785,,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,554,,,,,1228,,,,,,,,,,,,,,,,607,,,,,,,,,,,
Turkey,13601,3325,648,,,,,,140,796,,2947,14394,16856,,,329,,300,8787,,,,,,2376,,344,75,,482851,,,,,,1431,,,,,43,1764,56,,46,,,,53,,222,42,,10433,1137,28,73,3378,,,,,788,,,,112,76,150,,,,1677,16041,,,,6536,274691,144,59465,,,0,,,,,,,521,42,521,179,39332,142392,539,,2729,2853,,2008,918,5015,173,,286,1969,,63,1135,,,3082,,260,44,,,264,,42,,,153,,,190,,,481,,37,,,,21913,,290,,,880,,144544,,3567,24,1168,,,,,52,585,3428,224,,30,512,2341,20822,19944,,,,,,,,,4416,65,,,197,,314,146,,2176,295,,1213,52,740,400,,5355,10411,2768494,277,146,,,,,517,,2040,,,4195,43,18992,222,13634,,43,7997,,39,29,,,100,,
Turkmenistan,231,,,,,,,,,7113,,,,7654,,,,,2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038,,,,,,,,,,,,,,,,1904,,,,,,,,,20145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478,,,,,,,,,,,8012,,,,,,,67505,,,,,,,,
Turks_and_Caicos_Islands,,,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,,,,,,,,,,,,,,,,,,,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,,925,,,,,,,,,,,
Uganda,,,0,,,,,,,,,,,,,,126,,,38,,,,,,,,,,,,,44379,,,,239,,,,,,366,,,,,,,,56,,16,,,,131,286214,154,,,,,0,,,9250,,,2507,,,,,222,,,0,,209,0,35,,,,,,,,,,8,,3520,,,,,,,362,,183,,,38254,,,,,,,,,0,,,,,6,,,,,0,,,,,,,,26,,,,,191,,,,,3,,,,7,,1004,,,,,,,,,,,154,,,272,72393,,,,,,,,,0,,,,,,,,35224,,262321,53,,,66853,,25,,,,,,3,,,,,,,,,,1072,21916,859,,,,,,,,,,6,2
Ukraine,4812,,,,,,,,,47307,,,,82299,,,,,245534,,,,,,,,,,,,1732,,,,,,,,,,,,6560,,,,,,,,,,,,,,,,,,,,,,,,,10222,,,,,,,,,,,64399,1083,,,,,,,,,,,,,,3816,,2136,,,,3752,,,,3714,222245,,,,26729,,19497,1764,,,,,24418,,,,,,,,,,,,,,,1737,,,,,,,,,,,,,,,,,,,,,,,,3078,,,,,149745,,3275758,,,,,,,,,,,,,,,,,,,,,,,1513,,,,,3720,29367,,,,,,,1355,22602,,,,,,,2738,,,219814,,,12390,,,,,
United_Arab_Emirates,7515,,,,,,,,,,,,,,,1834,1004611,,,,,,,,,,,,,,,,,,,,,,,4909,,,,,,,,,,,,,,,,,,,,,,,,825178,,,17735,,,10136,,,,,16642,,,,,,,,,,,,,,,,,,,3184043,292432,,,,,,,,,154989,,,,61939,,,,38446,,,,,,,,,,,,,,,,,,,,8204,,,,,25580,2896,,,,,14399,,,,,,913855,,,,,,518041,,,,2452,,,,,,,,,,,,,6036,,,,,,,,,8930,,14607,,110523,53484,122204,,,,48547,,11760,,,,,5389,35027,,,,,,26777,,14329,,,,,,,,,188606,,
United_Kingdom,48633,9902,22133,,52,12753,766,4738,10778,1400,888,128295,24702,2152,2314,6225,215757,25201,3443,30345,1606,535,4522,320,3043,9067,3301,41817,383,5043,33237,196,4039,942,1190,8364,95169,1200,291,329,19589,7633,198472,117494,,23668,127,7554,,676,6662,9574,2209,,97472,31619,10778,17442,26052,429,8165,1180,7327,34866,914,213,15063,6650,1454,14463,1272,416,6057,15335,149825,112,308,9482,2299,306123,124093,44885,56,11888,,914,1621,1722,26577,295,659,40593,2246,808104,10165,79072,66802,389921,10398,18741,152611,138924,46610,5583,3677,131910,213,11774,735,703,40726,16408,695,3200,15907,34,139497,1966,1140,18020,74532,312,37182,,152,9209,,386,1235,1102,10292,21278,5767,13732,2299,20,35227,64767,159,75233,374,186,181136,,2629,,19145,3240,532770,,749,1353,783,7032,130500,804877,129340,,2222,11599,2246,173039,34270,4239,7573,10839,,9050,304,,647,26325,1681,8847,25235,51455,,42349,2094,405,142412,204540,,86626,142069,,18061,438,34288,22387,8339,323,37475,2639,1346,260,27933,5726,92014,510,144,72256,20939,10476,,42713,190133,173,1452,1977,173,8153,33291,,,18999,31275,161251
United_Republic_of_Tanzania,,,,,,1249,,,,,,,,,,,,,,,,,,,,,141,,,,,,175325,,,,294,,,,,,,,,,596,25017,,,,,,,,,,59508,,,,,,,,,,,88,,,,,,,,,,,967,,,,,,,,,,,,,,8010,,,,,,,575,,,,,27247,,,,,,,149,,,,,,,6907,,,,,,,,,,,,,14651,,644,,,,,,,,,,,,,,668,,,,,,,,,,,,,,,581,,,,,,,,,,,,,,,,,2967,712,,,,,,,,,,,,,,,,,,,,4857,,,1061,,1291,,,,,,,,,,8573,852
United_States_of_America,74106,91865,19633,,,14068,,31677,199314,94229,6591,89293,51129,21961,36504,,222616,58480,60494,36906,54147,,9068,,86529,127501,,361374,,,73631,,,40495,181502,49251,830628,,,,,106717,2676697,248913,12568,699399,,,,91939,28813,44944,1210674,,20420,75864,,25560,31599,,32379,1086819,478039,188170,1352357,,36332,11086,,221489,,,46821,21879,173561,,,23157,27126,585298,161082,151699,,35652,,991516,20333,,299148,682521,607457,78760,5672,2389639,104522,394223,213417,120144,,129681,352492,711134,335767,75355,28892,125185,,29826,6119,213777,25163,119613,,85482,9676,,39449,2669,,,71903,,8365,7188,,11643298,8064,,,,6749,73754,,134424,,,105677,92801,,34157,280437,,286784,,28018,,28874,,376432,,116055,,31770,486643,1982369,419332,176803,1695637,,1060019,43928,177831,386529,,19107,23377,,25299,18708,,,87863,42314,38320,41701,36132,,,9666,,93003,101037,,111685,52908,40177,45327,14794,52116,43436,84881,4803,267938,,,19652,255967,120883,379182,2306,,45703,383559,12419,683475,50245,,,52070,61204,,236264,1300575,,,45642,24856,55463
United_States_Virgin_Islands,,,,,,,972,4587,,,501,,,,,,,368,,,,,,,,,,,2464,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,,,5508,4641,,,,,,,,,,,,,,,,,,,,,,590,,,,,,644,,,,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,4067,,,,,,,7100,3425,,518,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,1759,,,,,,,,,,16861,,,,,,,,,,,
Uruguay,,,,,,,,,27662,,,,,,,,,,,,,,,,,,,12369,,,,,,,,,313,,,,,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,1384,,,,,,,,,,,,,,,,,,,,,7327,,,,,,,,,,,,,,,,,,,,,,,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,90,,1166,560,,,,,611,,,,,,,,,,,,,,,,,,,,,,16232,,,,,,,,,,,,,,,,,,,,,454,,623,,,,,583,,,,,,
Uzbekistan,,,,,,,,,,5870,,,,20357,,,,,26532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8610,,,,,,,,,,,,,,,,,,,,,,,,,13194,,,,4894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11496,,,,,,,,763,,,124602,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,313,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,29,,,,,,,,,108,,,,,,,,,,,,,
Venezuela_(Bolivarian_Republic_of),,19,95,,,188,,,9944,34,486,148,828,,,,,7,,395,20,,,,1967,24,,6026,,,142,,,,,,1136,,,,,15263,13865,573,,973315,,,,1127,,410,11423,718,15,376,46,,145,,0,14743,36973,185,1015,,28,52,,35,,,,72,3777,,,,13,4211,33,735,,163,,428,,,9149,1900,294,1027,,258,59,90,79,62,,468,51068,95,359,200,,,,71,,,140,7486,,,135,,147,,,,34,,,,,3831,,,,272,,1008,53,,,,,690,,18,2045,,105,,,,90,,14,,880,,214,47007,161,911,54591,419,,277,,874,674,,,6,,121,,,,1618,14,830,,18,256,24,103,,,71,,74582,,481,,46,114,661,15632,,70,,,,2808,14,132,,,,211,,1803,,11242,,4795,,,,12,,,,,15
